NAMESPACE                   LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
atlas-e2e                   43m         Normal    Pulled                    pod/minio-8d4866b9-gk4nn                                    Successfully pulled image "minio/minio:RELEASE.2025-01-20T14-49-07Z" in 4.572s (24.773s including waiting). Image size: 58649329 bytes.
atlas-e2e                   43m         Normal    Pulling                   pod/minio-bootstrap                                         Pulling image "minio/mc:RELEASE.2025-01-17T23-25-50Z"
atlas-e2e                   43m         Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   43m         Normal    Pulled                    pod/minio-bootstrap                                         Successfully pulled image "minio/mc:RELEASE.2025-01-17T23-25-50Z" in 3.99s (3.99s including waiting). Image size: 26586064 bytes.
atlas-e2e                   43m         Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   43m         Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   6m5s        Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   6m5s        Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   6m5s        Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   6m5s        Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-ops-20260219-175103   5m57s       Normal    SuccessfulCreate          replicaset/atlas-e2e-bijux-atlas-5c5d64d5d5                 Created pod: atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2
atlas-ops-20260219-175103   5m57s       Normal    ScalingReplicaSet         deployment/atlas-e2e-bijux-atlas                            Scaled up replica set atlas-e2e-bijux-atlas-5c5d64d5d5 from 0 to 1
atlas-ops-20260219-175103   5m57s       Normal    Scheduled                 pod/atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2                  Successfully assigned atlas-ops-20260219-175103/atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2 to bijux-atlas-e2e-control-plane
atlas-ops-20260219-175103   5m56s       Normal    Started                   pod/atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2                  Started container atlas-server
atlas-ops-20260219-175103   5m56s       Normal    Created                   pod/atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2                  Created container: atlas-server
atlas-ops-20260219-175103   5m56s       Normal    Pulled                    pod/atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2                  Container image "bijux-atlas:local" already present on machine
atlas-ops-20260219-175103   5m51s       Warning   Unhealthy                 pod/atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2                  Startup probe failed: Get "http://10.244.0.46:8080/healthz": dial tcp 10.244.0.46:8080: connect: connection refused
atlas-e2e                   5m23s       Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   5m22s       Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   5m22s       Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   5m22s       Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   4m20s       Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   4m20s       Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   4m20s       Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   4m20s       Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   3m50s       Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   3m50s       Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   3m50s       Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   3m50s       Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   3m19s       Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   3m18s       Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   3m18s       Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   3m18s       Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   2m39s       Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   2m39s       Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   2m39s       Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   2m39s       Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
